Comunidad autónoma de residencia del fallecido;Mes;Sexo;Total
Total;Total;Total;262.373
Total;Total;Varones;131.326
Total;Total;Mujeres;131.047
Total;Enero;Total;42.807
Total;Enero;Varones;21.401
Total;Enero;Mujeres;21.406
Total;Febrero;Total;36.269
Total;Febrero;Varones;18.204
Total;Febrero;Mujeres;18.065
Total;Marzo;Total;57.724
Total;Marzo;Varones;30.327
Total;Marzo;Mujeres;27.397
Total;Abril;Total;60.566
Total;Abril;Varones;28.993
Total;Abril;Mujeres;31.573
Total;Mayo;Total;34.701
Total;Mayo;Varones;17.251
Total;Mayo;Mujeres;17.450
Total;Junio;Total;30.306
Total;Junio;Varones;15.150
Total;Junio;Mujeres;15.156
Andalucía;Total;Total;38.228
Andalucía;Total;Varones;19.440
Andalucía;Total;Mujeres;18.788
Andalucía;Enero;Total;7.602
Andalucía;Enero;Varones;3.902
Andalucía;Enero;Mujeres;3.700
Andalucía;Febrero;Total;6.294
Andalucía;Febrero;Varones;3.173
Andalucía;Febrero;Mujeres;3.121
Andalucía;Marzo;Total;7.014
Andalucía;Marzo;Varones;3.574
Andalucía;Marzo;Mujeres;3.440
Andalucía;Abril;Total;6.608
Andalucía;Abril;Varones;3.286
Andalucía;Abril;Mujeres;3.322
Andalucía;Mayo;Total;5.610
Andalucía;Mayo;Varones;2.863
Andalucía;Mayo;Mujeres;2.747
Andalucía;Junio;Total;5.100
Andalucía;Junio;Varones;2.642
Andalucía;Junio;Mujeres;2.458
Aragón;Total;Total;8.035
Aragón;Total;Varones;3.918
Aragón;Total;Mujeres;4.117
Aragón;Enero;Total;1.437
Aragón;Enero;Varones;713
Aragón;Enero;Mujeres;724
Aragón;Febrero;Total;1.150
Aragón;Febrero;Varones;563
Aragón;Febrero;Mujeres;587
Aragón;Marzo;Total;1.483
Aragón;Marzo;Varones;760
Aragón;Marzo;Mujeres;723
Aragón;Abril;Total;1.864
Aragón;Abril;Varones;857
Aragón;Abril;Mujeres;1.007
Aragón;Mayo;Total;1.114
Aragón;Mayo;Varones;543
Aragón;Mayo;Mujeres;571
Aragón;Junio;Total;987
Aragón;Junio;Varones;482
Aragón;Junio;Mujeres;505
Asturias, Principado de;Total;Total;7.241
Asturias, Principado de;Total;Varones;3.494
Asturias, Principado de;Total;Mujeres;3.747
Asturias, Principado de;Enero;Total;1.414
Asturias, Principado de;Enero;Varones;681
Asturias, Principado de;Enero;Mujeres;733
Asturias, Principado de;Febrero;Total;1.094
Asturias, Principado de;Febrero;Varones;531
Asturias, Principado de;Febrero;Mujeres;563
Asturias, Principado de;Marzo;Total;1.298
Asturias, Principado de;Marzo;Varones;658
Asturias, Principado de;Marzo;Mujeres;640
Asturias, Principado de;Abril;Total;1.335
Asturias, Principado de;Abril;Varones;610
Asturias, Principado de;Abril;Mujeres;725
Asturias, Principado de;Mayo;Total;1.094
Asturias, Principado de;Mayo;Varones;515
Asturias, Principado de;Mayo;Mujeres;579
Asturias, Principado de;Junio;Total;1.006
Asturias, Principado de;Junio;Varones;499
Asturias, Principado de;Junio;Mujeres;507
Balears, Illes;Total;Total;4.212
Balears, Illes;Total;Varones;2.170
Balears, Illes;Total;Mujeres;2.042
Balears, Illes;Enero;Total;743
Balears, Illes;Enero;Varones;361
Balears, Illes;Enero;Mujeres;382
Balears, Illes;Febrero;Total;711
Balears, Illes;Febrero;Varones;365
Balears, Illes;Febrero;Mujeres;346
Balears, Illes;Marzo;Total;814
Balears, Illes;Marzo;Varones;470
Balears, Illes;Marzo;Mujeres;344
Balears, Illes;Abril;Total;753
Balears, Illes;Abril;Varones;365
Balears, Illes;Abril;Mujeres;388
Balears, Illes;Mayo;Total;613
Balears, Illes;Mayo;Varones;311
Balears, Illes;Mayo;Mujeres;302
Balears, Illes;Junio;Total;578
Balears, Illes;Junio;Varones;298
Balears, Illes;Junio;Mujeres;280
Canarias;Total;Total;8.428
Canarias;Total;Varones;4.437
Canarias;Total;Mujeres;3.991
Canarias;Enero;Total;1.633
Canarias;Enero;Varones;854
Canarias;Enero;Mujeres;779
Canarias;Febrero;Total;1.506
Canarias;Febrero;Varones;819
Canarias;Febrero;Mujeres;687
Canarias;Marzo;Total;1.505
Canarias;Marzo;Varones;804
Canarias;Marzo;Mujeres;701
Canarias;Abril;Total;1.341
Canarias;Abril;Varones;702
Canarias;Abril;Mujeres;639
Canarias;Mayo;Total;1.271
Canarias;Mayo;Varones;681
Canarias;Mayo;Mujeres;590
Canarias;Junio;Total;1.172
Canarias;Junio;Varones;577
Canarias;Junio;Mujeres;595
Cantabria;Total;Total;3.310
Cantabria;Total;Varones;1.585
Cantabria;Total;Mujeres;1.725
Cantabria;Enero;Total;629
Cantabria;Enero;Varones;296
Cantabria;Enero;Mujeres;333
Cantabria;Febrero;Total;510
Cantabria;Febrero;Varones;236
Cantabria;Febrero;Mujeres;274
Cantabria;Marzo;Total;609
Cantabria;Marzo;Varones;306
Cantabria;Marzo;Mujeres;303
Cantabria;Abril;Total;679
Cantabria;Abril;Varones;336
Cantabria;Abril;Mujeres;343
Cantabria;Mayo;Total;458
Cantabria;Mayo;Varones;200
Cantabria;Mayo;Mujeres;258
Cantabria;Junio;Total;425
Cantabria;Junio;Varones;211
Cantabria;Junio;Mujeres;214
Castilla y León;Total;Total;19.483
Castilla y León;Total;Varones;9.710
Castilla y León;Total;Mujeres;9.773
Castilla y León;Enero;Total;2.832
Castilla y León;Enero;Varones;1.409
Castilla y León;Enero;Mujeres;1.423
Castilla y León;Febrero;Total;2.424
Castilla y León;Febrero;Varones;1.244
Castilla y León;Febrero;Mujeres;1.180
Castilla y León;Marzo;Total;4.291
Castilla y León;Marzo;Varones;2.218
Castilla y León;Marzo;Mujeres;2.073
Castilla y León;Abril;Total;5.133
Castilla y León;Abril;Varones;2.443
Castilla y León;Abril;Mujeres;2.690
Castilla y León;Mayo;Total;2.529
Castilla y León;Mayo;Varones;1.266
Castilla y León;Mayo;Mujeres;1.263
Castilla y León;Junio;Total;2.274
Castilla y León;Junio;Varones;1.130
Castilla y León;Junio;Mujeres;1.144
Castilla-La Mancha;Total;Total;15.094
Castilla-La Mancha;Total;Varones;7.652
Castilla-La Mancha;Total;Mujeres;7.442
Castilla-La Mancha;Enero;Total;1.928
Castilla-La Mancha;Enero;Varones;983
Castilla-La Mancha;Enero;Mujeres;945
Castilla-La Mancha;Febrero;Total;1.665
Castilla-La Mancha;Febrero;Varones;853
Castilla-La Mancha;Febrero;Mujeres;812
Castilla-La Mancha;Marzo;Total;4.149
Castilla-La Mancha;Marzo;Varones;2.198
Castilla-La Mancha;Marzo;Mujeres;1.951
Castilla-La Mancha;Abril;Total;4.246
Castilla-La Mancha;Abril;Varones;2.101
Castilla-La Mancha;Abril;Mujeres;2.145
Castilla-La Mancha;Mayo;Total;1.693
Castilla-La Mancha;Mayo;Varones;829
Castilla-La Mancha;Mayo;Mujeres;864
Castilla-La Mancha;Junio;Total;1.413
Castilla-La Mancha;Junio;Varones;688
Castilla-La Mancha;Junio;Mujeres;725
Cataluña;Total;Total;44.414
Cataluña;Total;Varones;21.964
Cataluña;Total;Mujeres;22.450
Cataluña;Enero;Total;6.429
Cataluña;Enero;Varones;3.205
Cataluña;Enero;Mujeres;3.224
Cataluña;Febrero;Total;5.495
Cataluña;Febrero;Varones;2.759
Cataluña;Febrero;Mujeres;2.736
Cataluña;Marzo;Total;9.956
Cataluña;Marzo;Varones;5.235
Cataluña;Marzo;Mujeres;4.721
Cataluña;Abril;Total;12.353
Cataluña;Abril;Varones;5.780
Cataluña;Abril;Mujeres;6.573
Cataluña;Mayo;Total;5.632
Cataluña;Mayo;Varones;2.735
Cataluña;Mayo;Mujeres;2.897
Cataluña;Junio;Total;4.549
Cataluña;Junio;Varones;2.250
Cataluña;Junio;Mujeres;2.299
Comunitat Valenciana;Total;Total;24.398
Comunitat Valenciana;Total;Varones;12.610
Comunitat Valenciana;Total;Mujeres;11.788
Comunitat Valenciana;Enero;Total;4.523
Comunitat Valenciana;Enero;Varones;2.352
Comunitat Valenciana;Enero;Mujeres;2.171
Comunitat Valenciana;Febrero;Total;3.847
Comunitat Valenciana;Febrero;Varones;1.994
Comunitat Valenciana;Febrero;Mujeres;1.853
Comunitat Valenciana;Marzo;Total;4.678
Comunitat Valenciana;Marzo;Varones;2.476
Comunitat Valenciana;Marzo;Mujeres;2.202
Comunitat Valenciana;Abril;Total;4.495
Comunitat Valenciana;Abril;Varones;2.288
Comunitat Valenciana;Abril;Mujeres;2.207
Comunitat Valenciana;Mayo;Total;3.544
Comunitat Valenciana;Mayo;Varones;1.817
Comunitat Valenciana;Mayo;Mujeres;1.727
Comunitat Valenciana;Junio;Total;3.311
Comunitat Valenciana;Junio;Varones;1.683
Comunitat Valenciana;Junio;Mujeres;1.628
Extremadura;Total;Total;6.813
Extremadura;Total;Varones;3.411
Extremadura;Total;Mujeres;3.402
Extremadura;Enero;Total;1.205
Extremadura;Enero;Varones;620
Extremadura;Enero;Mujeres;585
Extremadura;Febrero;Total;999
Extremadura;Febrero;Varones;472
Extremadura;Febrero;Mujeres;527
Extremadura;Marzo;Total;1.315
Extremadura;Marzo;Varones;683
Extremadura;Marzo;Mujeres;632
Extremadura;Abril;Total;1.403
Extremadura;Abril;Varones;666
Extremadura;Abril;Mujeres;737
Extremadura;Mayo;Total;1.020
Extremadura;Mayo;Varones;515
Extremadura;Mayo;Mujeres;505
Extremadura;Junio;Total;871
Extremadura;Junio;Varones;455
Extremadura;Junio;Mujeres;416
Galicia;Total;Total;16.518
Galicia;Total;Varones;7.989
Galicia;Total;Mujeres;8.529
Galicia;Enero;Total;3.303
Galicia;Enero;Varones;1.575
Galicia;Enero;Mujeres;1.728
Galicia;Febrero;Total;2.775
Galicia;Febrero;Varones;1.317
Galicia;Febrero;Mujeres;1.458
Galicia;Marzo;Total;2.987
Galicia;Marzo;Varones;1.511
Galicia;Marzo;Mujeres;1.476
Galicia;Abril;Total;2.970
Galicia;Abril;Varones;1.425
Galicia;Abril;Mujeres;1.545
Galicia;Mayo;Total;2.407
Galicia;Mayo;Varones;1.159
Galicia;Mayo;Mujeres;1.248
Galicia;Junio;Total;2.076
Galicia;Junio;Varones;1.002
Galicia;Junio;Mujeres;1.074
Madrid, Comunidad de;Total;Total;40.710
Madrid, Comunidad de;Total;Varones;20.088
Madrid, Comunidad de;Total;Mujeres;20.622
Madrid, Comunidad de;Enero;Total;4.592
Madrid, Comunidad de;Enero;Varones;2.150
Madrid, Comunidad de;Enero;Mujeres;2.442
Madrid, Comunidad de;Febrero;Total;3.896
Madrid, Comunidad de;Febrero;Varones;1.908
Madrid, Comunidad de;Febrero;Mujeres;1.988
Madrid, Comunidad de;Marzo;Total;12.517
Madrid, Comunidad de;Marzo;Varones;6.755
Madrid, Comunidad de;Marzo;Mujeres;5.762
Madrid, Comunidad de;Abril;Total;12.104
Madrid, Comunidad de;Abril;Varones;5.574
Madrid, Comunidad de;Abril;Mujeres;6.530
Madrid, Comunidad de;Mayo;Total;4.209
Madrid, Comunidad de;Mayo;Varones;2.056
Madrid, Comunidad de;Mayo;Mujeres;2.153
Madrid, Comunidad de;Junio;Total;3.392
Madrid, Comunidad de;Junio;Varones;1.645
Madrid, Comunidad de;Junio;Mujeres;1.747
Murcia, Región de;Total;Total;6.032
Murcia, Región de;Total;Varones;3.120
Murcia, Región de;Total;Mujeres;2.912
Murcia, Región de;Enero;Total;1.197
Murcia, Región de;Enero;Varones;592
Murcia, Región de;Enero;Mujeres;605
Murcia, Región de;Febrero;Total;1.013
Murcia, Región de;Febrero;Varones;547
Murcia, Región de;Febrero;Mujeres;466
Murcia, Región de;Marzo;Total;1.060
Murcia, Región de;Marzo;Varones;542
Murcia, Región de;Marzo;Mujeres;518
Murcia, Región de;Abril;Total;999
Murcia, Región de;Abril;Varones;511
Murcia, Región de;Abril;Mujeres;488
Murcia, Región de;Mayo;Total;915
Murcia, Región de;Mayo;Varones;494
Murcia, Región de;Mayo;Mujeres;421
Murcia, Región de;Junio;Total;848
Murcia, Región de;Junio;Varones;434
Murcia, Región de;Junio;Mujeres;414
Navarra, Comunidad Foral de;Total;Total;3.581
Navarra, Comunidad Foral de;Total;Varones;1.788
Navarra, Comunidad Foral de;Total;Mujeres;1.793
Navarra, Comunidad Foral de;Enero;Total;572
Navarra, Comunidad Foral de;Enero;Varones;280
Navarra, Comunidad Foral de;Enero;Mujeres;292
Navarra, Comunidad Foral de;Febrero;Total;509
Navarra, Comunidad Foral de;Febrero;Varones;243
Navarra, Comunidad Foral de;Febrero;Mujeres;266
Navarra, Comunidad Foral de;Marzo;Total;793
Navarra, Comunidad Foral de;Marzo;Varones;426
Navarra, Comunidad Foral de;Marzo;Mujeres;367
Navarra, Comunidad Foral de;Abril;Total;862
Navarra, Comunidad Foral de;Abril;Varones;402
Navarra, Comunidad Foral de;Abril;Mujeres;460
Navarra, Comunidad Foral de;Mayo;Total;438
Navarra, Comunidad Foral de;Mayo;Varones;226
Navarra, Comunidad Foral de;Mayo;Mujeres;212
Navarra, Comunidad Foral de;Junio;Total;407
Navarra, Comunidad Foral de;Junio;Varones;211
Navarra, Comunidad Foral de;Junio;Mujeres;196
País Vasco;Total;Total;12.530
País Vasco;Total;Varones;6.113
País Vasco;Total;Mujeres;6.417
País Vasco;Enero;Total;2.126
País Vasco;Enero;Varones;1.053
País Vasco;Enero;Mujeres;1.073
País Vasco;Febrero;Total;1.843
País Vasco;Febrero;Varones;869
País Vasco;Febrero;Mujeres;974
País Vasco;Marzo;Total;2.543
País Vasco;Marzo;Varones;1.316
País Vasco;Marzo;Mujeres;1.227
País Vasco;Abril;Total;2.762
País Vasco;Abril;Varones;1.309
País Vasco;Abril;Mujeres;1.453
País Vasco;Mayo;Total;1.745
País Vasco;Mayo;Varones;822
País Vasco;Mayo;Mujeres;923
País Vasco;Junio;Total;1.511
País Vasco;Junio;Varones;744
País Vasco;Junio;Mujeres;767
Rioja, La;Total;Total;1.981
Rioja, La;Total;Varones;1.028
Rioja, La;Total;Mujeres;953
Rioja, La;Enero;Total;306
Rioja, La;Enero;Varones;166
Rioja, La;Enero;Mujeres;140
Rioja, La;Febrero;Total;256
Rioja, La;Febrero;Varones;140
Rioja, La;Febrero;Mujeres;116
Rioja, La;Marzo;Total;423
Rioja, La;Marzo;Varones;228
Rioja, La;Marzo;Mujeres;195
Rioja, La;Abril;Total;478
Rioja, La;Abril;Varones;229
Rioja, La;Abril;Mujeres;249
Rioja, La;Mayo;Total;269
Rioja, La;Mayo;Varones;143
Rioja, La;Mayo;Mujeres;126
Rioja, La;Junio;Total;249
Rioja, La;Junio;Varones;122
Rioja, La;Junio;Mujeres;127
Ceuta;Total;Total;327
Ceuta;Total;Varones;165
Ceuta;Total;Mujeres;162
Ceuta;Enero;Total;65
Ceuta;Enero;Varones;31
Ceuta;Enero;Mujeres;34
Ceuta;Febrero;Total;68
Ceuta;Febrero;Varones;37
Ceuta;Febrero;Mujeres;31
Ceuta;Marzo;Total;61
Ceuta;Marzo;Varones;32
Ceuta;Marzo;Mujeres;29
Ceuta;Abril;Total;51
Ceuta;Abril;Varones;29
Ceuta;Abril;Mujeres;22
Ceuta;Mayo;Total;36
Ceuta;Mayo;Varones;15
Ceuta;Mayo;Mujeres;21
Ceuta;Junio;Total;46
Ceuta;Junio;Varones;21
Ceuta;Junio;Mujeres;25
Melilla;Total;Total;281
Melilla;Total;Varones;139
Melilla;Total;Mujeres;142
Melilla;Enero;Total;53
Melilla;Enero;Varones;30
Melilla;Enero;Mujeres;23
Melilla;Febrero;Total;49
Melilla;Febrero;Varones;19
Melilla;Febrero;Mujeres;30
Melilla;Marzo;Total;56
Melilla;Marzo;Varones;25
Melilla;Marzo;Mujeres;31
Melilla;Abril;Total;47
Melilla;Abril;Varones;25
Melilla;Abril;Mujeres;22
Melilla;Mayo;Total;38
Melilla;Mayo;Varones;20
Melilla;Mayo;Mujeres;18
Melilla;Junio;Total;38
Melilla;Junio;Varones;20
Melilla;Junio;Mujeres;18
Extranjero;Total;Total;757
Extranjero;Total;Varones;505
Extranjero;Total;Mujeres;252
Extranjero;Enero;Total;218
Extranjero;Enero;Varones;148
Extranjero;Enero;Mujeres;70
Extranjero;Febrero;Total;165
Extranjero;Febrero;Varones;115
Extranjero;Febrero;Mujeres;50
Extranjero;Marzo;Total;172
Extranjero;Marzo;Varones;110
Extranjero;Marzo;Mujeres;62
Extranjero;Abril;Total;83
Extranjero;Abril;Varones;55
Extranjero;Abril;Mujeres;28
Extranjero;Mayo;Total;66
Extranjero;Mayo;Varones;41
Extranjero;Mayo;Mujeres;25
Extranjero;Junio;Total;53
Extranjero;Junio;Varones;36
Extranjero;Junio;Mujeres;17
